dataset,track,model,proteins,stratification,stratum,residues,positive_labels,negative_labels,prevalence,mean_score,calibration_bias,brier_score,mean_absolute_error,log_loss,error_rate_at_0_5,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,tp,tn,fp,fn,roc_auc_full_precision,aucpr_trapezoid_full_precision,aps_full_precision,fmax_full_precision
CAID2,disorder_pdb,LoRA-DR-Suite 650M,112,protein_length,501-1000,45032,13230,31802,0.29379108189731745,0.2646037986318178,-0.02918728326549963,0.09953616191675262,0.1890614727624587,0.32433754179450586,0.13659175697281933,0.7480853503706434,0.6596225757798437,9133,29748,2054,4097,0.9216011623888037,0.8260750086406312,0.8259753037856414,0.7947263963708534
CAID2,disorder_pdb,PUNCH2-Light Paper-8,112,protein_length,501-1000,45032,13230,31802,0.29379108189731745,0.24060915705546057,-0.05318192484185688,0.06835412239499437,0.14012632643985387,0.2447603114888355,0.07416947948125777,0.8662502002242513,0.8179671545585043,10816,30876,926,2414,0.958200944116475,0.9246924037587335,0.9246972157056852,0.8702032488425017
CAID2,disorder_pdb,PUNCH2-Light Released-13,112,protein_length,501-1000,45032,13230,31802,0.29379108189731745,0.2587380173606346,-0.03505306453668283,0.061815995687801606,0.12783405517879953,0.2271017823013217,0.07308136436311956,0.8705299185648531,0.8210758184922373,11064,30677,1125,2166,0.9595575191413728,0.9288220752924488,0.9288256804567248,0.871889970638232
CAID2,disorder_pdb,A10-locked,45,protein_length,1-200,5035,3064,1971,0.608540218470705,0.5837600680650208,-0.024780150405684265,0.07997455541300844,0.1492240092647309,0.2665044521649607,0.10724925521350546,0.9085365853658536,0.7826507019841809,2682,1813,158,382,0.9547702455844735,0.9747242598013923,0.974728021899327,0.9107692307692308
CAID2,disorder_pdb,LoRA-DR-Suite 650M,45,protein_length,1-200,5035,3064,1971,0.608540218470705,0.6328096812571103,0.024269462786405294,0.11587660289269217,0.22410416736733865,0.34898021323041845,0.1916583912611718,0.8455258524091566,0.5940948670233033,2641,1429,542,423,0.9182550540275245,0.9507878352878706,0.9507564351657445,0.8532173913043478
CAID2,disorder_pdb,PUNCH2-Light Paper-8,45,protein_length,1-200,5035,3064,1971,0.608540218470705,0.3719925515945184,-0.23654766687618667,0.1691940563416579,0.2658583423163456,0.5764597272980886,0.20337636544190665,0.8003898635477582,0.6582962739096766,2053,1958,13,1011,0.9508339261325777,0.9716150398186041,0.971619647965779,0.9144747725392887
CAID2,disorder_pdb,PUNCH2-Light Released-13,45,protein_length,1-200,5035,3064,1971,0.608540218470705,0.3953621293566633,-0.21317808911404174,0.1511760495291435,0.23988295007233365,0.5337458868525264,0.18709036742800397,0.8193325661680092,0.6808639568658832,2136,1957,14,928,0.9540454739943277,0.9740886428823985,0.9740927033263065,0.917575961054222
CAID2,disorder_pdb,A10-locked,119,known_label_disorder_fraction,"(0.60,1.00]",27817,25294,2523,0.9093000683035554,0.8662808055397118,-0.0430192627638436,0.056698070534890295,0.09100400729662436,0.19806929218846445,0.0717187331487939,0.9597693036762185,0.6420302176246924,23797,2025,498,1497,0.9445724698473421,0.9929568593854441,0.9929572648788105,0.9624222115844902
CAID2,disorder_pdb,LoRA-DR-Suite 650M,119,known_label_disorder_fraction,"(0.60,1.00]",27817,25294,2523,0.9093000683035554,0.6229947624182677,-0.2863053058852877,0.1903879249500613,0.31731271970856634,0.5814134746001259,0.2962936333896538,0.8078966996084281,0.3423765245693169,17331,2244,279,7963,0.8934787932361721,0.985900017717192,0.9858907852552194,0.959609479568538
CAID2,disorder_pdb,PUNCH2-Light Paper-8,119,known_label_disorder_fraction,"(0.60,1.00]",27817,25294,2523,0.9093000683035554,0.647683195000985,-0.26161687330257033,0.155513590260238,0.29252887099183233,0.5477220207193918,0.15885969011755402,0.9056676272814602,0.48443611717191776,21213,2185,338,4081,0.9086353049375961,0.9885959442695659,0.9885963410102304,0.9538360882867973
