dataset,track,true_state,segment_length_bin,model,proteins,residues,positive_labels,negative_labels,prevalence,mean_score,calibration_bias,brier_score,mean_absolute_error,log_loss,error_rate_at_0_5,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,tp,tn,fp,fn,roc_auc_full_precision,aucpr_trapezoid_full_precision,aps_full_precision,fmax_full_precision
CAID3,disorder_nox,disordered,101+,PUNCH2-Light Paper-8,81,19608,19608,0,1.0,0.7261120154628825,-0.2738879845371175,0.14339099315008647,0.27388798453711755,0.5175912360307221,0.13127294981640147,0.9297527427542165,0.0,17034,0,0,2574,,,,
CAID3,disorder_nox,disordered,101+,PUNCH2-Light Released-13,81,19608,19608,0,1.0,0.7759382030108578,-0.2240617969891422,0.11604865734387765,0.22406179698914216,0.4445113037458392,0.11984904120767034,0.9362556284923779,0.0,17258,0,0,2350,,,,
CAID3,disorder_nox,ordered,101+,A10-locked,133,66698,0,66698,0.0,0.3599950164651678,0.3599950164651678,0.30294931125374985,0.3599950164651678,1.4418548767358812,0.33231881015922515,0.0,0.0,0,44533,22165,0,,,,
CAID3,disorder_nox,ordered,101+,LoRA-DR-Suite 650M,133,66698,0,66698,0.0,0.24263631713637382,0.24263631713637382,0.14627351624608,0.24263631713637382,0.44956100377170227,0.20131038411946386,0.0,0.0,0,53271,13427,0,,,,
CAID3,disorder_nox,ordered,101+,PUNCH2-Light Paper-8,133,66698,0,66698,0.0,0.2505010726776035,0.2505010726776035,0.17762862828620501,0.2505010726776035,0.5819882778011941,0.2569192479534619,0.0,0.0,0,49562,17136,0,,,,
CAID3,disorder_nox,ordered,101+,PUNCH2-Light Released-13,133,66698,0,66698,0.0,0.2618289951628325,0.2618289951628325,0.18949372194008005,0.2618289951628325,0.6002177067094194,0.2687636810698972,0.0,0.0,0,48772,17926,0,,,,
CAID3,disorder_nox,disordered,31-100,A10-locked,76,4971,4971,0,1.0,0.8717041109942365,-0.1282958890057635,0.0852130341775472,0.1282958890057634,0.3015172928598761,0.10541138603902635,0.9443618602675727,0.0,4447,0,0,524,,,,
CAID3,disorder_nox,disordered,31-100,LoRA-DR-Suite 650M,76,4971,4971,0,1.0,0.7123682795908187,-0.2876317204091813,0.17262699470454954,0.2876317204091813,0.572243816300084,0.21947294306980486,0.8767370918540278,0.0,3880,0,0,1091,,,,
CAID3,disorder_nox,disordered,31-100,PUNCH2-Light Paper-8,76,4971,4971,0,1.0,0.6532049151335546,-0.3467950848664454,0.21757386013752544,0.3467950848664454,0.7351236799443612,0.26272379802856566,0.848772579898101,0.0,3665,0,0,1306,,,,
CAID3,disorder_nox,disordered,31-100,PUNCH2-Light Released-13,76,4971,4971,0,1.0,0.690903722932408,-0.309096277067592,0.19281929296640932,0.309096277067592,0.6613015551709284,0.23898611949305976,0.864290610006854,0.0,3783,0,0,1188,,,,
CAID3,disorder_nox,ordered,1-15,A10-locked,7,51,0,51,0.0,0.674427443109804,0.674427443109804,0.6100116983295845,0.674427443109804,2.1635224351997033,0.7058823529411765,0.0,0.0,0,15,36,0,,,,
CAID3,disorder_nox,ordered,1-15,LoRA-DR-Suite 650M,7,51,0,51,0.0,0.5260223327921568,0.5260223327921568,0.3999696544071325,0.5260223327921568,1.3573057299082827,0.5294117647058824,0.0,0.0,0,24,27,0,,,,
CAID3,disorder_nox,ordered,1-15,PUNCH2-Light Paper-8,7,51,0,51,0.0,0.481016693754902,0.481016693754902,0.3378908316639555,0.481016693754902,0.9509044999308935,0.6274509803921569,0.0,0.0,0,19,32,0,,,,
CAID3,disorder_nox,ordered,1-15,PUNCH2-Light Released-13,7,51,0,51,0.0,0.5304256349215686,0.5304256349215686,0.3975720737145357,0.5304256349215686,1.0620765355767539,0.6274509803921569,0.0,0.0,0,19,32,0,,,,
CAID3,disorder_pdb,disordered,16-30,A10-locked,107,2627,2627,0,1.0,0.6819291300767606,-0.3180708699232394,0.21509438077804663,0.3180708699232394,0.6918775954452958,0.30148458317472404,0.8225011205737337,0.0,1835,0,0,792,,,,
CAID3,disorder_pdb,disordered,16-30,LoRA-DR-Suite 650M,107,2627,2627,0,1.0,0.6052527554002817,-0.3947472445997183,0.25585479268642974,0.3947472445997183,0.7885352946542373,0.3555386372287781,0.7837962962962963,0.0,1693,0,0,934,,,,
CAID3,disorder_pdb,disordered,16-30,PUNCH2-Light Paper-8,107,2627,2627,0,1.0,0.4647430695624667,-0.5352569304375333,0.38195469448753827,0.5352569304375333,1.2215340804308463,0.5047582794061667,0.6624236252545824,0.0,1301,0,0,1326,,,,
CAID3,disorder_pdb,disordered,16-30,PUNCH2-Light Released-13,107,2627,2627,0,1.0,0.5135155252526836,-0.4864844747473164,0.3415602173540862,0.4864844747473163,1.1193943774849853,0.43852303007232585,0.719161384690395,0.0,1475,0,0,1152,,,,
CAID3,disorder_pdb,ordered,31-100,A10-locked,136,14219,0,14219,0.0,0.22508591890298688,0.22508591890298688,0.12626995569760405,0.22508591890298688,0.4284280535007161,0.16632674590336874,0.0,0.0,0,11854,2365,0,,,,
CAID3,disorder_pdb,ordered,31-100,LoRA-DR-Suite 650M,136,14219,0,14219,0.0,0.21503257246816795,0.21503257246816795,0.11339984193087345,0.21503257246816795,0.362682333430306,0.16084112806807793,0.0,0.0,0,11932,2287,0,,,,
CAID3,disorder_pdb,ordered,31-100,PUNCH2-Light Paper-8,136,14219,0,14219,0.0,0.10368617646572194,0.10368617646572194,0.04024508719040616,0.10368617646572194,0.14389961643256566,0.05984949715169843,0.0,0.0,0,13368,851,0,,,,
CAID3,disorder_pdb,ordered,31-100,PUNCH2-Light Released-13,136,14219,0,14219,0.0,0.10688277928283987,0.10688277928283987,0.04406076188716225,0.10688277928283987,0.1540549025321616,0.06364723257613053,0.0,0.0,0,13314,905,0,,,,
CAID3,disorder_pdb,disordered,1-15,A10-locked,94,1382,1382,0,1.0,0.4680419079690883,-0.5319580920309117,0.41304262619313625,0.5319580920309117,1.3715836291904027,0.5434153400868307,0.6269249875807252,0.0,631,0,0,751,,,,
CAID3,disorder_pdb,disordered,1-15,LoRA-DR-Suite 650M,94,1382,1382,0,1.0,0.5517601234103473,-0.4482398765896527,0.30284740766093116,0.44823987658965275,0.9308801048949552,0.41244573082489144,0.740200546946217,0.0,812,0,0,570,,,,
