dataset,track,stratification,stratum,model,proteins,residues,positive_labels,negative_labels,prevalence,mean_score,calibration_bias,brier_score,mean_absolute_error,log_loss,error_rate_at_0_5,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,tp,tn,fp,fn,roc_auc_full_precision,aucpr_trapezoid_full_precision,aps_full_precision,fmax_full_precision
CAID3,disorder_nox,distance_to_nearest_observed_transition,16+,PUNCH2-Light Paper-8,174,80672,15130,65542,0.18754958349861167,0.3398235796474675,0.15227399614885584,0.17359229616004151,0.25777789149855834,0.5790718305237388,0.2373686037286791,0.5751935576901746,0.4829393801854966,12964,48559,16983,2166,0.8336514249184133,0.44156478359273527,0.4416336714347573,0.5774371607134712
CAID3,disorder_nox,distance_to_nearest_observed_transition,16+,PUNCH2-Light Released-13,174,80672,15130,65542,0.18754958349861167,0.3576704903893049,0.1701209068906932,0.17790025455447508,0.2577871842867339,0.5791295266773147,0.24412435541451805,0.5722601103340429,0.4818237429089332,13174,47804,17738,1956,0.8494638453553482,0.48515917328672603,0.48522383582718187,0.5855351599736025
CAID3,disorder_nox,distance_to_nearest_observed_transition,3-5,A10-locked,174,2102,1048,1054,0.49857278782112274,0.6041642032060942,0.10559141538497147,0.3039826393974006,0.39881761938377264,1.1200216287683291,0.3758325404376784,0.6600688468158347,0.25485565588610876,767,545,509,281,0.6491283659486942,0.6095797178995045,0.6102044562687812,0.679437060203284
CAID3,disorder_nox,distance_to_nearest_observed_transition,3-5,LoRA-DR-Suite 650M,174,2102,1048,1054,0.49857278782112274,0.4671330045684586,-0.031439783252664166,0.28186248447250184,0.4107496146843578,0.8848928565328852,0.3910561370123692,0.5982404692082111,0.21802206114248676,612,668,386,436,0.6536408918406073,0.601757128065753,0.6026875557149614,0.6906272022551092
CAID3,disorder_nox,distance_to_nearest_observed_transition,3-5,PUNCH2-Light Paper-8,174,2102,1048,1054,0.49857278782112274,0.3666816928414844,-0.13189109497963836,0.28572320366100107,0.41120521431617507,0.9166642619006925,0.3972407231208373,0.5474254742547425,0.2110867156474077,505,762,292,543,0.6767403711053492,0.6113760374481105,0.6120870613507206,0.7031857031857032
CAID3,disorder_nox,distance_to_nearest_observed_transition,3-5,PUNCH2-Light Released-13,174,2102,1048,1054,0.49857278782112274,0.3976446930049953,-0.10092809481612747,0.2824419497167959,0.4009175932464796,0.9112383213013819,0.3824928639391056,0.5777310924369748,0.2386288976980336,550,748,306,498,0.6817195851499921,0.6093119506895084,0.6101249177913265,0.7108933283075762
CAID3,disorder_nox,distance_to_nearest_observed_transition,6-15,A10-locked,174,6190,2761,3429,0.4460420032310178,0.5951280096611663,0.14908600643014852,0.23284497642525703,0.31206024380633607,0.8905931149185315,0.28933764135702744,0.7220239019090486,0.4526022331079512,2326,2073,1356,435,0.7838666807358968,0.6827281755932522,0.6830256985525622,0.727391659852821
CAID3,disorder_nox,distance_to_nearest_observed_transition,6-15,LoRA-DR-Suite 650M,174,6190,2761,3429,0.4460420032310178,0.46958355323773504,0.02354155000671726,0.22091323077285024,0.3405400639077899,0.703049256087729,0.30436187399030695,0.6748360372799448,0.3914787729973828,1955,2351,1078,806,0.7548283495831886,0.6501581517970195,0.6505611961647912,0.692485549132948
CAID3,disorder_nox,distance_to_nearest_observed_transition,6-15,PUNCH2-Light Paper-8,174,6190,2761,3429,0.4460420032310178,0.3812297736286914,-0.06481222960232635,0.21039058069804387,0.3223791252768336,0.6958724476978803,0.2812600969305331,0.6743968580512436,0.4280257169829339,1803,2646,783,958,0.7821833903020966,0.6648196469616324,0.6651047706556448,0.7266503667481662
CAID3,disorder_nox,distance_to_nearest_observed_transition,6-15,PUNCH2-Light Released-13,174,6190,2761,3429,0.4460420032310178,0.4110047374553958,-0.035037265775621995,0.20752794950827647,0.31115944154638125,0.6931746902004917,0.27253634894991924,0.6924339106654512,0.44781669502918875,1899,2604,825,862,0.7854185738553778,0.661587394949368,0.6619341648280379,0.7287371134020619
CAID3,disorder_nox,distance_to_nearest_observed_transition,no-transition,A10-locked,38,8887,6363,2524,0.7159896478001575,0.7600645053414145,0.04407485754125695,0.06078411945595368,0.08739770889836278,0.28624943747707265,0.06830201417801282,0.9536393492706027,0.8290405134236298,6243,2037,487,120,0.928471336492943,0.9530461752608252,0.9530544002839143,0.9548169704395774
CAID3,disorder_nox,distance_to_nearest_observed_transition,no-transition,LoRA-DR-Suite 650M,38,8887,6363,2524,0.7159896478001575,0.6838021524880971,-0.03218749531206044,0.09640963422338719,0.17845652931030268,0.3154326235888671,0.1426803195679082,0.8987543915681891,0.658424302884894,5628,1991,533,735,0.9248174930692072,0.9673380378233101,0.9673072278591963,0.926645579153487
CAID3,disorder_nox,distance_to_nearest_observed_transition,no-transition,PUNCH2-Light Paper-8,38,8887,6363,2524,0.7159896478001575,0.6037589478571284,-0.11223069994302914,0.10466147115025175,0.2097137166078429,0.3606384094480514,0.10937324181388546,0.9228448960152407,0.7355692668720899,5813,2102,422,550,0.9126678402501784,0.9487862335335899,0.9487943360584165,0.9402534701267351
CAID3,disorder_nox,distance_to_nearest_observed_transition,no-transition,PUNCH2-Light Released-13,38,8887,6363,2524,0.7159896478001575,0.6415472576872399,-0.07444239011291764,0.08987714903239104,0.1764027113828851,0.32563964907199017,0.10352199842466524,0.9271690943635214,0.7485322285602983,5856,2111,413,507,0.9133207270240268,0.9478224044359891,0.9478311454870931,0.9400366188587121
CAID3,disorder_pdb,distance_to_nearest_observed_transition,0-2,A10-locked,218,2804,1404,1400,0.5007132667617689,0.42046006459590946,-0.0802532021658594,0.33139867663918404,0.4579838386534985,1.0861065841273692,0.45399429386590584,0.4926265444400159,0.09445748092787257,618,913,487,786,0.570269129019129,0.5683155698520893,0.5687163662725125,0.6700143472022956
